"","ID","Biome","State","Latitude","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time"
"695","RMO 073","Amazon","Rondonia",-9.223,"RMO",26,"B",24,"F",0,2.648,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,3,18
"696","RMO 074","Amazon","Rondonia",-9.223,"RMO",26,"B",24,"M",1,2.914,18,NA,NA,19,NA,1,0.0526315789473684,0.0555555555555556,1,1,NA,4,19
"697","RMO 075","Amazon","Rondonia",-9.223,"RMO",26,"B",24,"F",0,2.885,22,NA,NA,24,NA,1,0.0416666666666667,0.0454545454545455,2,0.5,NA,4,24
"698","RMO 076","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"",NA,NA,NA,NA,12,NA,12,0,NA,NA,NA,NA,0.0833333333333333,NA,12
"699","RMO 077","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.657,14,NA,NA,16,NA,1,0.0625,0.0714285714285714,2,0.5,NA,2,16
"700","RMO 078","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.531,14,NA,NA,15,NA,1,0.0666666666666667,0.0714285714285714,1,1,NA,2,15
"701","RMO 079","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.442,18,NA,NA,19,NA,1,0.0526315789473684,0.0555555555555556,1,1,NA,2,19
"702","RMO 080","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"M",1,2.486,18,NA,NA,19,NA,1,0.0526315789473684,0.0555555555555556,1,1,NA,2,19
"703","RMO 081","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"",NA,NA,NA,NA,13,NA,13,0,NA,NA,NA,NA,0.0769230769230769,NA,13
"704","RMO 082","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.47,14,NA,NA,16,NA,1,0.0625,0.0714285714285714,2,0.5,NA,2,16
"705","RMO 083","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.467,15,NA,NA,16,NA,1,0.0625,0.0666666666666667,1,1,NA,2,16
"706","RMO 084","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.751,17,NA,NA,18,NA,1,0.0555555555555556,0.0588235294117647,1,1,NA,2,18
"707","RMO 085","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"M",1,2.612,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,2,19
"708","RMO 086","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.607,14,NA,NA,15,NA,1,0.0666666666666667,0.0714285714285714,1,1,NA,1,15
"709","RMO 087","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.784,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,2,17
"710","RMO 088","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"F",0,2.718,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,2,17
"711","RMO 089","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"712","RMO 090","Amazon","Rondonia",-9.223,"RMO",26,"C",28,"",NA,NA,NA,13,NA,NA,13,0,NA,NA,NA,NA,0.0769230769230769,NA,13
"713","RMO 091","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,3.044,18,NA,NA,21,NA,1,0.0476190476190476,0.0555555555555556,3,0.333333333333333,NA,2,21
"714","RMO 092","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,2.725,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"715","RMO 093","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,2.834,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,5,24
"716","RMO 094","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,2.86,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,4,26
"717","RMO 095","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"",NA,NA,NA,23,NA,NA,23,0,NA,NA,NA,NA,0.0434782608695652,NA,23
"718","RMO 096","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,2.754,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"719","RMO 097","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,2.775,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"720","RMO 098","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"F",0,2.781,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,4,25
"721","RMO 099","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"F",0,2.85,25,NA,NA,28,NA,1,0.0357142857142857,0.04,3,0.333333333333333,NA,6,28
"722","RMO 100","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"",NA,NA,NA,21,NA,NA,21,0,NA,NA,NA,NA,0.0476190476190476,NA,21
"723","RMO 101","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,2.709,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"724","RMO 102","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"F",0,2.62,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"725","RMO 103","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"F",0,2.662,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"726","RMO 104","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,2.748,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,5,25
"727","RMO 105","Amazon","Rondonia",-9.223,"RMO",33,"A",20,"M",1,2.978,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,4,26
"728","RMO 106","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"M",1,2.708,14,NA,NA,16,NA,1,0.0625,0.0714285714285714,2,0.5,NA,3,16
"729","RMO 107","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"M",1,2.659,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,3,17
"730","RMO 108","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"F",0,2.539,15,NA,NA,16,NA,1,0.0625,0.0666666666666667,1,1,NA,3,16
"731","RMO 109","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"M",1,2.882,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"732","RMO 110","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"",NA,NA,NA,10,NA,NA,10,0,NA,NA,NA,NA,0.1,NA,10
"733","RMO 111","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"F",0,2.327,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,3,18
"734","RMO 112","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"M",1,2.604,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,3,18
"735","RMO 113","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"M",1,2.622,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,2,20
"736","RMO 114","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"M",1,2.795,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,3,21
"737","RMO 115","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"",NA,NA,NA,18,NA,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"738","RMO 116","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"F",0,2.692,13,NA,NA,15,NA,1,0.0666666666666667,0.0769230769230769,2,0.5,NA,3,15
"739","RMO 117","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"F",0,2.564,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"740","RMO 118","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"F",0,2.496,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"741","RMO 119","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"M",1,2.639,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,3,21
"742","RMO 120","Amazon","Rondonia",-9.223,"RMO",33,"B",24,"F",0,2.682,20,NA,NA,22,NA,1,0.0454545454545455,0.05,2,0.5,NA,3,22
"743","RMO 121","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"M",1,2.489,11,NA,NA,13,NA,1,0.0769230769230769,0.0909090909090909,2,0.5,NA,1,13
"744","RMO 122","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"F",0,2.376,13,NA,NA,14,NA,1,0.0714285714285714,0.0769230769230769,1,1,NA,2,14
"745","RMO 123","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"F",0,2.277,15,NA,NA,16,NA,1,0.0625,0.0666666666666667,1,1,NA,2,16
"746","RMO 124","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"F",0,2.488,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,2,17
"747","RMO 125","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"748","RMO 126","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"M",1,2.444,12,NA,NA,14,NA,1,0.0714285714285714,0.0833333333333333,2,0.5,NA,1,14
"749","RMO 127","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"",NA,NA,NA,NA,16,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"750","RMO 128","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"F",0,2.618,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,2,17
"751","RMO 129","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"M",1,2.587,17,NA,NA,18,NA,1,0.0555555555555556,0.0588235294117647,1,1,NA,2,18
"752","RMO 130","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"",NA,NA,NA,13,NA,NA,13,0,NA,NA,NA,NA,0.0769230769230769,NA,13
"753","RMO 132","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"M",1,2.471,13,NA,NA,15,NA,1,0.0666666666666667,0.0769230769230769,2,0.5,NA,1,15
"754","RMO 133","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"M",1,2.595,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,2,17
"755","RMO 134","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"F",0,2.627,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,2,19
"756","RMO 135","Amazon","Rondonia",-9.223,"RMO",33,"C",28,"",NA,NA,NA,18,NA,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"757","RMO 136","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"",NA,NA,NA,30,NA,NA,30,0,NA,NA,NA,NA,0.0333333333333333,NA,30
"758","RMO 137","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"",NA,NA,NA,29,NA,NA,29,0,NA,NA,NA,NA,0.0344827586206897,NA,29
"759","RMO 138","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"",NA,NA,NA,9,NA,NA,9,0,NA,NA,NA,NA,0.111111111111111,NA,9
"760","RMO 139","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"",NA,NA,NA,3,NA,NA,3,0,NA,NA,NA,NA,0.333333333333333,NA,3
"761","RMO 140","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"",NA,NA,NA,3,NA,NA,3,0,NA,NA,NA,NA,0.333333333333333,NA,3
"762","RMO 141","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"F",0,2.622,18,NA,NA,22,NA,1,0.0454545454545455,0.0555555555555556,4,0.25,NA,4,22
"763","RMO 142","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"F",0,2.75,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"764","RMO 144","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"",NA,NA,NA,24,NA,NA,24,0,NA,NA,NA,NA,0.0416666666666667,NA,24
"765","RMO 145","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"",NA,NA,NA,6,NA,NA,6,0,NA,NA,NA,NA,0.166666666666667,NA,6
"766","RMO 146","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"F",0,2.794,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"767","RMO 147","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"F",0,2.609,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"768","RMO 148","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"F",0,2.624,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,5,24
"769","RMO 149","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"F",0,2.827,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,5,26
"770","RMO 150","Amazon","Rondonia",-9.223,"RMO",39,"A",20,"F",0,2.704,27,NA,NA,30,NA,1,0.0333333333333333,0.037037037037037,3,0.333333333333333,NA,4,30
"771","RMO 151","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"F",0,2.5,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"772","RMO 152","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"",NA,NA,NA,18,NA,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"773","RMO 153","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"",NA,NA,NA,18,NA,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"774","RMO 154","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"",NA,NA,NA,18,NA,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"775","RMO 155","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"",NA,NA,NA,3,NA,NA,3,0,NA,NA,NA,NA,0.333333333333333,NA,3
"776","RMO 156","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"F",0,2.64,14,NA,NA,16,NA,1,0.0625,0.0714285714285714,2,0.5,NA,3,16
"777","RMO 157","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"F",0,2.529,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,3,17
"778","RMO 158","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"F",0,2.612,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,3,18
"779","RMO 159","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"",NA,NA,NA,22,NA,NA,22,0,NA,NA,NA,NA,0.0454545454545455,NA,22
"780","RMO 160","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"",NA,NA,NA,3,NA,NA,3,0,NA,NA,NA,NA,0.333333333333333,NA,3
"781","RMO 161","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"F",0,2.522,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"782","RMO 162","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"F",0,2.495,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"783","RMO 163","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"F",0,2.597,21,NA,NA,23,NA,1,0.0434782608695652,0.0476190476190476,2,0.5,NA,4,23
"784","RMO 164","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"",NA,NA,NA,23,NA,NA,23,0,NA,NA,NA,NA,0.0434782608695652,NA,23
"785","RMO 165","Amazon","Rondonia",-9.223,"RMO",39,"B",24,"",NA,NA,NA,3,NA,NA,3,0,NA,NA,NA,NA,0.333333333333333,NA,3
"786","RMO 166","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"F",0,2.399,12,NA,NA,14,NA,1,0.0714285714285714,0.0833333333333333,2,0.5,NA,2,14
"787","RMO 167","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"",NA,NA,NA,NA,13,NA,13,0,NA,NA,NA,NA,0.0769230769230769,NA,13
"788","RMO 168","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"F",0,2.588,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,2,17
"789","RMO 169","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"F",0,2.51,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,2,19
"790","RMO 170","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"",NA,NA,NA,22,NA,NA,22,0,NA,NA,NA,NA,0.0454545454545455,NA,22
"791","RMO 171","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"F",0,2.548,12,NA,NA,14,NA,1,0.0714285714285714,0.0833333333333333,2,0.5,NA,2,14
"792","RMO 172","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"F",0,2.401,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,1,17
"793","RMO 174","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"",NA,NA,NA,13,NA,NA,13,0,NA,NA,NA,NA,0.0769230769230769,NA,13
"794","RMO 175","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"",NA,NA,NA,11,NA,NA,11,0,NA,NA,NA,NA,0.0909090909090909,NA,11
"795","RMO 176","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"F",0,2.444,10,NA,NA,11,NA,1,0.0909090909090909,0.1,1,1,NA,2,11
"796","RMO 177","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"F",0,2.199,14,NA,NA,15,NA,1,0.0666666666666667,0.0714285714285714,1,1,NA,2,15
"797","RMO 178","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"F",0,2.392,15,NA,NA,16,NA,1,0.0625,0.0666666666666667,1,1,NA,2,16
"798","RMO 179","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"",NA,NA,NA,14,NA,NA,14,0,NA,NA,NA,NA,0.0714285714285714,NA,14
"799","RMO 180","Amazon","Rondonia",-9.223,"RMO",39,"C",28,"",NA,NA,NA,5,NA,NA,5,0,NA,NA,NA,NA,0.2,NA,5
"800","RMO 181","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"F",0,2.881,18,NA,NA,21,NA,1,0.0476190476190476,0.0555555555555556,3,0.333333333333333,NA,4,21
"801","RMO 182","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"F",0,2.638,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"802","RMO 183","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"M",1,2.78,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,3,26
"803","RMO 184","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"F",0,2.77,24,NA,NA,27,NA,1,0.037037037037037,0.0416666666666667,3,0.333333333333333,NA,3,27
"804","RMO 185","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"F",0,2.861,25,NA,NA,28,NA,1,0.0357142857142857,0.04,3,0.333333333333333,NA,4,28
"805","RMO 186","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"F",0,2.865,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"806","RMO 187","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"F",0,2.896,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,5,25
"807","RMO 188","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"M",1,2.887,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,5,26
"808","RMO 189","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"M",1,2.892,25,NA,NA,28,NA,1,0.0357142857142857,0.04,3,0.333333333333333,NA,3,28
"809","RMO 190","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"",NA,NA,NA,22,NA,NA,22,0,NA,NA,NA,NA,0.0454545454545455,NA,22
"810","RMO 191","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"M",1,2.637,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,1,23
"811","RMO 192","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"M",1,2.703,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,3,24
"812","RMO 193","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"M",1,2.683,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,3,24
"813","RMO 194","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"M",1,2.62,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,3,25
"814","RMO 195","Amazon","Rondonia",-9.223,"RMO",41,"A",20,"M",1,2.946,24,NA,NA,27,NA,1,0.037037037037037,0.0416666666666667,3,0.333333333333333,NA,3,27
"815","RMO 196","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"F",0,2.660331992,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,2,17
"816","RMO 197","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"M",1,2.566605836,17,NA,NA,18,NA,1,0.0555555555555556,0.0588235294117647,1,1,NA,3,18
"817","RMO 198","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"M",1,2.773966318,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,2,20
"818","RMO 199","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"M",1,2.734925705,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,2,21
"819","RMO 200","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"M",1,2.988076935,20,NA,NA,22,NA,1,0.0454545454545455,0.05,2,0.5,NA,3,22
"820","RMO 201","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"M",1,2.669063817,15,NA,NA,16,NA,1,0.0625,0.0666666666666667,1,1,NA,3,16
"821","RMO 203","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"M",1,2.636362659,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,1,20
"822","RMO 204","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"M",1,2.602537021,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,3,20
"823","RMO 205","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"F",0,2.623553374,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,3,21
"824","RMO 206","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"M",1,2.795628025,13,NA,NA,15,NA,1,0.0666666666666667,0.0769230769230769,2,0.5,NA,3,15
"825","RMO 207","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"F",0,2.730528828,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"826","RMO 208","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"F",0,2.666889824,18,NA,NA,21,NA,1,0.0476190476190476,0.0555555555555556,3,0.333333333333333,NA,3,21
"827","RMO 209","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"F",0,2.926931342,20,NA,NA,22,NA,1,0.0454545454545455,0.05,2,0.5,NA,3,22
"828","RMO 210","Amazon","Rondonia",-9.223,"RMO",41,"B",24,"",NA,NA,NA,18,NA,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"829","RMO 211","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.701253257,12,NA,NA,13,NA,1,0.0769230769230769,0.0833333333333333,1,1,NA,3,13
"830","RMO 212","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.535547395,15,NA,NA,16,NA,1,0.0625,0.0666666666666667,1,1,NA,1,16
"831","RMO 213","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"F",0,2.5385786,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,2,17
"832","RMO 214","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.743373966,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,1,20
"833","RMO 215","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"F",0,2.29835725,19,NA,NA,20,NA,1,0.05,0.0526315789473684,1,1,NA,2,20
"834","RMO 216","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.46947039,13,NA,NA,15,NA,1,0.0666666666666667,0.0769230769230769,2,0.5,NA,1,15
"835","RMO 217","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"F",0,2.557645856,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,2,17
"836","RMO 218","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.483084737,17,NA,NA,18,NA,1,0.0555555555555556,0.0588235294117647,1,1,NA,2,18
"837","RMO 219","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.747174379,18,NA,NA,19,NA,1,0.0526315789473684,0.0555555555555556,1,1,NA,2,19
"838","RMO 220","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"F",0,2.687922474,20,NA,NA,21,NA,1,0.0476190476190476,0.05,1,1,NA,2,21
"839","RMO 221","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.512826396,15,NA,NA,16,NA,1,0.0625,0.0666666666666667,1,1,NA,1,16
"840","RMO 222","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"F",0,2.574340297,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,1,17
"841","RMO 223","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.519889429,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,1,18
"842","RMO 224","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.496497003,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,1,18
"843","RMO 225","Amazon","Rondonia",-9.223,"RMO",41,"C",28,"M",1,2.778386011,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,1,21
"844","RMO 226","Amazon","Rondonia",-9.223,"RMO",6,"A",20,"M",1,2.969844075,17,NA,NA,20,NA,1,0.05,0.0588235294117647,3,0.333333333333333,NA,5,20
"845","RMO 227","Amazon","Rondonia",-9.223,"RMO",6,"A",20,"F",0,2.823860601,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"846","RMO 228","Amazon","Rondonia",-9.223,"RMO",6,"A",20,"F",0,2.799408882,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,6,24
"847","RMO 229","Amazon","Rondonia",-9.223,"RMO",6,"A",20,"M",1,2.853703301,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,5,26
"848","RMO 230","Amazon","Rondonia",-9.223,"RMO",6,"A",20,"F",0,2.865792267,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,4,26
